from	to	name	importance
1685	1750	J.S.Bach	1
1685	1759	Händel	2
1732	1809	Haydn	2
1756	1791	Mozart	1
1770	1827	Beethoven	1
1786	1826	Weber	2
1930	1996	Takemitsu	3
1875	1937	Ravel	2
1866	1925	Satie	3
1792	1868	Rossini	3
1797	1828	Schubert	1
1803	1869	Berlioz	3
1874	1951	Schönberg	2
1860	1911	Mahler	1
1685	1757	Scarlatti	2
1668	1733	François Couperin	2
1835	1921	Saint-Saëns	3
1838	1875	Bizet	3
1813	1901	Verdi	2
1810	1856	Schumann	2
1840	1893	Tchaikovsky	1
1906	1975	Shostakovich	2
1891	1953	Prokofiev	2
1882	1971	Stravinsky	2
1809	1847	Felix Mendelssohn	2
1813	1883	Richard Wagner	1
1824	1896	Bruckner	3
1833	1897	Brahms	1
1873	1943	Rachmaninov	3
1881	1945	Bartók	2
1811	1886	Liszt	3
1440	1521	Josquin Des Prez	2
1567	1643	Monteverdi	2
1678	1741	Vivaldi	1
1643	1704	Charpentier	2
1683	1764	Rameau	2
1862	1918	Debussy	1
1857	1934	Elgar	3
1874	1934	Holst	3
1913	1976	Britten	2
1822	1890	Franck	3
1858	1924	Puccini	3
