from,to,name,nationality,importance
1839,1906,Cezanne,France,1
1839,1899,Sisley,UK,2
1834,1917,Degas,,3
1830,1903,Pissarro,,3
1832,1883,Manet,France,1
1840,1926,Monet,France,1
1841,1919,Renoir,France,2
1796,1875,Corot,France,3
1887,1985,Chagall,France,2
1844,1910,Rousseau,France,3
1883,1955,Utrillo,,3
1884,1920,Modigliani,,3
1886,1968,Foujita ,Japan,3
1891,1976,Ernst,,3
1904,1989,Dali,,2
1898,1967,Magritte,,3
1527,1593,Arcimboldo,,3
1826,1898,Moreau,,3
1840,1916,Redon,,2
1863,1944,Munch,,2
1864,1901,Toulouse-Lautrec,,3
1826,1918,Klimt,,2
1886,1980,Kokoschka,,3
1809,1918,Schiele,,3
1853,1890,van Gogh,,1
1869,1954,Matisse,France,1
1871,1958,Rouault,France,2
1848,1903,Gauguin,France,1
1863,1935,Signac,France,3
1859,1891,Seurat,France,3
1885,1927,Yorozu,Japan,3
1888,1986,Umehara,Japan,3
1903,1934,Migishi,Japan,4
1898,1928,Saeki,Japan,4
1891,1929,Kishida,Japan,3
1887,1924,Tsune Nakamura,Japan,3
1866,1924,Seiki Kuroda,Japan,3
1828,1894,Yuichi Takahashi,Japan,3
1959,2050,Yoshitomo Nara,Japan,3
1897,1978,Seiji Togo,Japan,4
1912,1948,Shunsuke Matsumoto,Japan,4
1888,1955,Sotaro Yasui,Japan,3
1898,1978,Shikanosuke Oka,Japan,4
1903,1988,Ryohei Koiso,Japan,3
1882,1911,Shigeru Aoki,Japan,3
1899,1919,Shoji Sekine,Japan,3
1716,1800,Jakuchu Ito,Japan,2
1658,1716,Korin Ogata,Japan,2
1760,1849,Hokusai Katsushika,Japan,1
1543,1590,Eitoku Kanoh,Japan,1
1618,1694,Moronobu Hishikawa,Japan,2
1754,1799,Rosetsu Nagasawa,Japan,3
1730,1781,Shohaku Soga,Japan,3
1602,1674,Tan-yu Kanoh,Japan,2
1797,1858,Hiroshige Utagawa,Japan,1
1909,1992,Francis Bacon,Ireland,1
1475,1564,Michelangelo,Italy,1
1483,1520,Raffaello,Italy,1
1593,1652,La Tour,France,2
1571,1610,Caravaggio,Italy,2
1452,1519,da Vinci,Italy,1
1881,1973,Picasso,Spain,1
1780,1867,Ingres,France,	2
1798,1863,Delacroix,France,2
1748,1825,David,France,2
1395,1441,Jan van Eyck,Netherland,2
1912,1956,Pollock,USA,1
1903,1970,Rothko,USA,2
1905,1970,Newman,USA,2
1904,1997,de Kooning,USA,2
1928,1987,Warhol,USA,1
1450,1516,Hieronymus Bosch,Netherland,2
1471,1528,Dürer,Germany,2
1887,1968,Marcel Duchamp,USA,1
1775,1851,Turner,UK,1
1746,1828,Goya,Spain,1
1599,1660,Velázquez,Spain,1
1541,1614,El Greco,Greece,2
